nohup: 忽略输入
/home/ryes/anaconda3/envs/lwx_pytorch/lib/python3.9/site-packages/torch_geometric/deprecation.py:12: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
Epoch: 111, Loss: 0.5552, Acc: 0.4697
Epoch: 112, Loss: 0.5322, Acc: 0.4887
Epoch: 113, Loss: 0.5212, Acc: 0.5086
Epoch: 114, Loss: 0.5151, Acc: 0.5026
Epoch: 115, Loss: 0.5123, Acc: 0.5137
Epoch: 116, Loss: 0.5093, Acc: 0.5136
Epoch: 117, Loss: 0.5048, Acc: 0.5329
Epoch: 118, Loss: 0.5022, Acc: 0.5356
Epoch: 119, Loss: 0.4989, Acc: 0.5631
Epoch: 120, Loss: 0.5006, Acc: 0.5019
Epoch: 121, Loss: 0.4960, Acc: 0.5397
Epoch: 122, Loss: 0.4943, Acc: 0.5553
Epoch: 123, Loss: 0.4926, Acc: 0.5347
Epoch: 124, Loss: 0.4884, Acc: 0.5560
Epoch: 125, Loss: 0.4893, Acc: 0.5318
Epoch: 126, Loss: 0.4838, Acc: 0.5494
Epoch: 127, Loss: 0.4802, Acc: 0.5691
Epoch: 128, Loss: 0.4762, Acc: 0.5653
Epoch: 129, Loss: 0.4787, Acc: 0.5480
Epoch: 130, Loss: 0.4833, Acc: 0.5407
Epoch: 131, Loss: 0.4852, Acc: 0.5712
Epoch: 132, Loss: 0.4819, Acc: 0.5392
Epoch: 133, Loss: 0.4825, Acc: 0.5654
Epoch: 134, Loss: 0.4782, Acc: 0.5736
Epoch: 135, Loss: 0.4805, Acc: 0.5353
Epoch: 136, Loss: 0.4788, Acc: 0.5660
Epoch: 137, Loss: 0.4709, Acc: 0.5842
Epoch: 138, Loss: 0.4664, Acc: 0.5722
Epoch: 139, Loss: 0.4612, Acc: 0.5813
Epoch: 140, Loss: 0.4584, Acc: 0.5750
Epoch: 141, Loss: 0.4619, Acc: 0.5811
Epoch: 142, Loss: 0.4547, Acc: 0.5956
Epoch: 143, Loss: 0.4508, Acc: 0.5911
Epoch: 144, Loss: 0.4442, Acc: 0.6046
Epoch: 145, Loss: 0.4380, Acc: 0.6090
Epoch: 146, Loss: 0.4338, Acc: 0.6371
Epoch: 147, Loss: 0.4305, Acc: 0.6076
Epoch: 148, Loss: 0.4317, Acc: 0.6260
Epoch: 149, Loss: 0.4256, Acc: 0.6410
Epoch: 150, Loss: 0.4234, Acc: 0.6335
Epoch: 151, Loss: 0.4223, Acc: 0.6106
Epoch: 152, Loss: 0.4268, Acc: 0.6339
Epoch: 153, Loss: 0.4206, Acc: 0.6162
Epoch: 154, Loss: 0.4258, Acc: 0.6136
Epoch: 155, Loss: 0.4284, Acc: 0.6457
Epoch: 156, Loss: 0.4195, Acc: 0.6504
Epoch: 157, Loss: 0.4227, Acc: 0.6344
Epoch: 158, Loss: 0.4223, Acc: 0.6307
Epoch: 159, Loss: 0.4146, Acc: 0.6596
Epoch: 160, Loss: 0.4103, Acc: 0.6593
Epoch: 161, Loss: 0.4197, Acc: 0.6288
Epoch: 162, Loss: 0.4335, Acc: 0.4573
Epoch: 163, Loss: 0.5088, Acc: 0.5690
Epoch: 164, Loss: 0.4772, Acc: 0.5802
Epoch: 165, Loss: 0.4566, Acc: 0.5977
Epoch: 166, Loss: 0.4413, Acc: 0.6131
Epoch: 167, Loss: 0.4432, Acc: 0.6061
Epoch: 168, Loss: 0.4373, Acc: 0.6382
